"#symbol","logFC","logCPM","LR","PValue","adj.p"
"DLX6",0.132912582896282,1.10316795521176,0.115181788433272,0.734320149585166,1
"MAP3K9",1.89473225130869,3.41250036914434,13.459509473704,0.000243767481522414,0.00998415010172577
"RALA",-0.466209172308162,5.12290996670767,2.40079712956651,0.121273440551728,0.560788256432511
"BAIAP2L1",0.736756466042191,1.39458735568767,0.62279270014593,0.430011390465178,1
"KDM7A",0.788381214244937,6.11312522874167,2.6105588199853,0.106154349307259,0.518106645495023
"ETV1",-0.0104516671438994,1.2094970420198,8.53374950735564e-05,0.992629383246501,1
"AGK",-0.11781653107897,4.56927984500273,0.137454896066998,0.710824414982167,1
"ALDH3B1",-1.57417332045711,5.74236578239539,15.2661957965315,9.33726566133758e-05,0.00520183984343465
"TTC22",0.484405767316391,2.54625067487469,1.00097048356549,0.317075793144832,0.98989910300652
"PHTF2",0.572886194198776,5.11258597930484,3.18937859045055,0.0741181813599591,0.415410459591801
"CCL26",-0.0951637738359758,1.10360606907299,0.0662362008250099,0.79689783239692,1
"FARP2",0.831025963875163,4.68253460068436,6.94933311337553,0.00838504852730898,0.103354571949421
"USH1C",-0.0473035484891743,1.10152960921589,0.0326248999738367,0.856662997634648,1
"GGCT",-0.642101395510471,4.65229905727404,2.52236828798253,0.112241900546886,0.536531905042395
"DBF4",0.0888733647636137,4.87352036838135,0.057680651295442,0.810200047368494,1
"TBXA2R",0.213675898349838,4.7908174803407,0.3093144752665,0.57810115562876,1
"IFRD1",0.488459909533744,6.18091196599854,2.86615710942211,0.0904606330304735,0.470384182070648
"LGALS14",-0.134930957809021,1.12512080297809,0.0198989879677034,0.887819562617797,1
"COX10",-1.45139673073365,3.88032333129963,13.7230917914515,0.000211833873209856,0.00901411677558322
"GTF2IRD1",0.187532510364652,3.09192579786127,0.219411703801932,0.639488536571794,1
"PAF1",-0.272599300586047,4.93848663158954,0.906057097900371,0.341162755672325,1
"VPS41",-0.414208157761665,6.57332811410621,2.34269813920645,0.125871369438143,0.574312295876661
"ARHGAP44",1.05192691777171,1.66582719904877,2.11676127115661,0.145694353813073,0.626979945668456
"ELAC2",-0.377215298120889,6.147740541861,1.88173333064881,0.170137274125254,0.6884037846758
